Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Elevation Gained,Elevation Lost,Hill Difficulty,SPI,Description,Tags
19564477,GarminPush,46742|2020-03-15T06:48:15,15.07109,4637419,1:17:17,11.6995949686668,161,177,96,15/03/20 7:48,15/03/20 6:48,15/03/20 16:18,15/03/20 16:18,False,False,60,59,2,594,bonne sortie bonne meteo pas de douleurs,
19557715,GarminPush,46742|2020-03-14T09:28:43,6.6918,2277594,37:57,10.5771616890455,150,165,77,14/03/20 10:29,14/03/20 9:29,15/03/20 16:18,15/03/20 16:18,False,False,37,36,2,480,,
19541371,GarminPush,46742|2020-03-12T11:02:48,10.71468,3624800,1:00:24,10.641372765394,150,166,97,12/03/20 12:03,12/03/20 11:03,12/03/20 12:58,12/03/20 12:58,False,False,19,24,2,510,toujours petite douleur à la fesse. sortie un peu dure.,
19533824,GarminPush,46742|2020-03-11T11:18:52,8.45392,2686849,44:46,11.3270645280029,158,176,96,11/03/20 12:19,11/03/20 11:19,11/03/20 16:06,11/03/20 16:06,False,False,36,40,2,538,douleur fesse droite avant la sortie. Gros vent de face au retour.,
19527928,GarminPush,46742|2020-03-10T10:57:04,10.35969,3777784,1:02:57,9.87215891644414,141,151,102,10/03/20 11:57,10/03/20 10:57,15/03/20 16:18,15/03/20 16:18,False,False,26,30,2,461,,
19508582,GarminPush,46742|2020-03-08T08:29:16,12.90735,4397888,1:13:17,10.565630593594,147,168,92,8/03/20 9:29,8/03/20 8:29,8/03/20 9:45,8/03/20 9:45,False,False,61,63,2,516,,
19497710,GarminPush,46742|2020-03-07T07:16:17,13.72997,4276397,1:11:16,11.5583029358593,160,179,103,7/03/20 8:16,7/03/20 7:16,7/03/20 8:46,7/03/20 8:46,False,False,67,76,2,581,,
19477325,GarminPush,46742|2020-03-04T10:54:58,13.18538,4512707,1:15:12,10.518601805967,148,162,99,4/03/20 11:55,4/03/20 10:55,4/03/20 12:13,4/03/20 12:13,False,False,73,65,2,514,,
19467779,GarminPush,46742|2020-03-03T06:31:02,10.31486,3366901,56:06,11.0289836261892,154,163,80,3/03/20 7:31,3/03/20 6:31,3/03/20 7:29,3/03/20 7:29,False,False,46,51,2,531,,
19444409,GarminPush,46742|2020-03-01T09:33:20,14.02292,4407709,1:13:27,11.4532315994545,161,176,104,1/03/20 10:33,1/03/20 9:33,1/03/20 17:17,1/03/20 17:17,False,False,87,78,2,575,,
